plotID,year,TotalGrazing,start_graz1,start_graz2,start_graz3,start_graz4,end_graz1,end_graz2,end_graz3,end_graz4,grazingdays,inten_graz1,inten_graz2,inten_graz3,inten_graz4
AEG01,2006,0.0,,,,,,,,,0,,,,
AEG01,2007,0.0,,,,,,,,,0,,,,
AEG01,2008,0.0,,,,,,,,,0,,,,
AEG01,2009,0.0,,,,,,,,,0,,,,
AEG01,2010,0.0,,,,,,,,,0,,,,
AEG01,2011,0.0,,,,,,,,,0,,,,
AEG01,2012,0.0,,,,,,,,,0,,,,
AEG01,2013,0.0,,,,,,,,,0,,,,
AEG01,2014,0.0,,,,,,,,,0,,,,
AEG01,2015,0.0,,,,,,,,,0,,,,
AEG01,2016,0.0,,,,,,,,,0,,,,
AEG01,2017,0.0,,,,,,,,,0,,,,
AEG01,2018,0.0,,,,,,,,,0,,,,
AEG01,2019,0.0,,,,,,,,,0,,,,
AEG01,2020,0.0,,,,,,,,,0,,,,
AEG01,2021,0.0,,,,,,,,,0,,,,
AEG02,2006,0.0,,,,,,,,,0,,,,
AEG02,2007,0.0,,,,,,,,,0,,,,
AEG02,2008,0.0,,,,,,,,,0,,,,
AEG02,2009,0.0,,,,,,,,,0,,,,
AEG02,2010,0.0,,,,,,,,,0,,,,
AEG02,2011,0.0,,,,,,,,,0,,,,
AEG02,2012,0.0,,,,,,,,,0,,,,
AEG02,2013,0.0,,,,,,,,,0,,,,
AEG02,2014,0.0,,,,,,,,,0,,,,
AEG02,2015,0.0,,,,,,,,,0,,,,
AEG02,2016,0.0,,,,,,,,,0,,,,
AEG02,2017,0.0,,,,,,,,,0,,,,
AEG02,2018,0.0,,,,,,,,,0,,,,
AEG02,2019,0.0,,,,,,,,,0,,,,
AEG02,2020,0.0,,,,,,,,,0,,,,
AEG02,2021,0.0,,,,,,,,,0,,,,
AEG03,2006,0.0,,,,,,,,,0,,,,
AEG03,2007,0.0,,,,,,,,,0,,,,
AEG03,2008,0.0,,,,,,,,,0,,,,
AEG03,2009,0.0,,,,,,,,,0,,,,
AEG03,2010,0.0,,,,,,,,,0,,,,
AEG03,2011,0.0,,,,,,,,,0,,,,
AEG03,2012,33.8409,2012-10-01,,,,2012-10-31,,,,31,1.091641935483871,,,
AEG03,2013,0.0,,,,,,,,,0,,,,
AEG03,2014,10.9983,2014-10-01,,,,2014-10-31,,,,31,0.35478387096774194,,,
AEG03,2015,20.3046,2015-10-01,,,,2015-10-31,,,,31,0.6549870967741935,,,
AEG03,2016,23.6887,2016-10-01,,,,2016-10-31,,,,31,0.7641516129032259,,,
AEG03,2017,0.0,,,,,,,,,0,,,,
AEG03,2018,0.0,,,,,,,,,0,,,,
AEG03,2019,13.5364,2019-10-01,,,,2019-10-31,,,,31,0.43665806451612904,,,
AEG03,2020,13.5364,2020-10-01,,,,2020-10-31,,,,31,0.43665806451612904,,,
AEG03,2021,0.0,,,,,,,,,0,,,,
AEG04,2006,110.7062,2006-05-01,,,,2006-10-31,,,,184,0.6016641304347826,,,
AEG04,2007,106.6059,2007-08-01,,,,2007-10-31,,,,92,1.1587597826086957,,,
AEG04,2008,106.6059,2008-08-01,,,,2008-10-31,,,,92,1.1587597826086957,,,
AEG04,2009,57.4032,2009-10-01,,,,2009-10-31,,,,31,1.851716129032258,,,
AEG04,2010,47.3804,2010-09-01,,,,2010-09-30,,,,30,1.5793466666666667,,,
AEG04,2011,76.9932,2011-07-01,,,,2011-08-31,,,,62,1.241825806451613,,,
AEG04,2012,168.7927,2012-06-01,,,,2012-11-30,,,,183,0.9223644808743169,,,
AEG04,2013,100.6834,2013-06-01,,,,2013-10-31,,,,153,0.6580614379084968,,,
AEG04,2014,119.1252,2014-06-01,,,,2014-09-30,,,,122,0.9764360655737705,,,
AEG04,2015,104.787,2015-07-01,,,,2015-09-30,,,,92,1.1389891304347828,,,
AEG04,2016,74.9559,2016-07-01,,,,2016-10-31,,,,123,0.6093975609756097,,,
AEG04,2017,152.132,2017-06-01,,,,2017-09-30,,,,122,1.2469836065573772,,,
AEG04,2018,123.0068,2018-06-01,,,,2018-09-30,,,,122,1.0082524590163935,,,
AEG04,2019,77.6129,2019-07-01,,,,2019-10-31,,,,123,0.6309991869918699,,,
AEG04,2020,115.338,2020-07-01,,,,2020-10-31,,,,123,0.9377073170731707,,,
AEG04,2021,48.8527,2021-07-01,,,,2021-10-31,,,,123,0.39717642276422765,,,
AEG05,2006,113.75,2006-05-01,,,,2006-10-31,,,,184,0.6182065217391305,,,
AEG05,2007,123.5294,2007-05-01,,,,2007-10-31,,,,184,0.6713554347826086,,,
AEG05,2008,123.5294,2008-05-01,,,,2008-10-31,,,,184,0.6713554347826086,,,
AEG05,2009,63.2353,2009-10-01,,,,2009-10-31,,,,31,2.0398483870967743,,,
AEG05,2010,36.9485,2010-08-01,,,,2010-10-31,,,,92,0.4016141304347826,,,
AEG05,2011,112.5189,2011-06-01,,,,2011-10-31,,,,153,0.7354176470588235,,,
AEG05,2012,115.3269,2012-06-01,,,,2012-10-31,,,,153,0.7537705882352941,,,
